"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"75","The Returned","2012–","TV-MA","31 Oct 2013","52 min","Drama, Fantasy, Horror","N/A","Fabrice Gobert","Anne Consigny, Clotilde Hesme, Frédéric Pierrot, Céline Sallette","The Returned opens in a small mountain community which is rocked to its core when several local people who are presumed dead suddenly re-appear at their homes. Despite having passed away ...","French","France","3 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMmE4ODQ3NzUtNWM2NC00YjQ1LTk2ZTQtMWE0NWU5YzFkYjY3XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","16,942","tt2521668","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"76","Sleepy Hollow","2013–2017","TV-14","16 Sep 2013","45 min","Adventure, Drama, Fantasy","N/A","Phillip Iscove, Alex Kurtzman, Roberto Orci, Len Wiseman","Tom Mison, Lyndie Greenwood, Nicole Beharie, Orlando Jones","Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.","English","USA","Nominated for 1 Primetime Emmy. Another 30 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MzkwMjY5NF5BMl5BanBnXkFtZTgwNDY5Mzk4NjE@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","52,172","tt2647544","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"77","Fargo","2014–","TV-MA","15 Apr 2014","53 min","Crime, Drama, Thriller","N/A","N/A","Allison Tolman, Billy Bob Thornton, Colin Hanks, Martin Freeman","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, ND.","English","USA","Won 2 Golden Globes. Another 37 wins & 128 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTYxNjkyNl5BMl5BanBnXkFtZTgwNzY1Mjg4MTI@._V1_SX300.jpg","Internet Movie Database","9.0/10","N/A","9.0","206,245","tt2802850","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"78","Outlander","2014–","TV-MA","09 Aug 2014","64 min","Drama, Romance, Sci-Fi","N/A","Ronald D. Moore","Caitriona Balfe, Sam Heughan, Duncan Lacroix, Tobias Menzies","Follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is...","English, Scottish Gaelic","USA","Nominated for 4 Golden Globes. Another 21 wins & 28 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzODc3ODI2M15BMl5BanBnXkFtZTgwNzcwNjk0ODE@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","60,382","tt3006802","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"79","12 Monkeys","2015–","TV-14","16 Jan 2015","42 min","Adventure, Drama, Mystery","N/A","Travis Fickett, Terry Matalas","Aaron Stanford, Amanda Schull, Barbara Sukowa, Kirk Acevedo","Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.","English","USA","3 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTcxNzMzOV5BMl5BanBnXkFtZTgwODYxNjg0ODE@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","26,117","tt3148266","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"80","Empire","2015–","TV-14","07 Jan 2015","42 min","Drama, Music","N/A","Lee Daniels, Danny Strong","Terrence Howard, Bryshere Y. Gray, Jussie Smollett, Trai Byers","A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers.","English","USA","Won 1 Golden Globe. Another 22 wins & 75 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODcwMzQxN15BMl5BanBnXkFtZTgwMjk3Mjc3OTE@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","31,031","tt3228904","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"81","Daredevil","2015–","TV-MA","10 Apr 2015","54 min","Action, Crime, Drama","N/A","Drew Goddard","Charlie Cox, Deborah Ann Woll, Elden Henson, Vincent D'Onofrio","Matt Murdock, with his other senses superhumanly enhanced, fights crime as a blind lawyer by day, and vigilante by night.","English","USA","Nominated for 5 Primetime Emmys. Another 3 wins & 14 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNzUwMDEyMTIxM15BMl5BanBnXkFtZTgwNDU3OTYyODE@._V1_SX300.jpg","Internet Movie Database","8.7/10","N/A","8.7","257,159","tt3322312","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"82","Happy Valley","2014–","TV-MA","29 Apr 2014","58 min","Crime, Drama","N/A","Sally Wainwright","Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy","Catherine Cawood is the sergeant on duty when flustered and nervous accountant Kevin Weatherill comes into her West Yorkshire station to report a crime.","English","UK","14 wins & 16 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOWUzOGIzMmUtNGExYy00NTNjLThlY2MtMzExOTcyY2NlZGYwXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","17,965","tt3428912","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"83","Deadline Gallipoli","2015–","N/A","19 Apr 2015","197 min","Drama, War","N/A","N/A","Sam Worthington, Hugh Dancy, Joel Jackson, Charles Dance","Three journalists, Charles Bean, Ellis Ashmead Bartlett and Phillip Schuler, arrive at Gallipoli with the invading British and Allied troops in 1915. They will report the war but are ...","English","Australia","5 wins & 10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NjQ5MzMzNl5BMl5BanBnXkFtZTgwNDQ4MzI4NTE@._V1_SX300.jpg","Internet Movie Database","7.3/10","N/A","7.3","432","tt3458030","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"84","Constantine","2014–2015","TV-14","24 Oct 2014","43 min","Drama, Fantasy, Horror","N/A","Daniel Cerone, David S. Goyer","Matt Ryan, Harold Perrineau, Angélica Celaya, Charles Halford","A man struggling with his faith who is haunted by the sins of his past is suddenly thrust into the role of defending humanity from the gathering forces of darkness.","English","USA","Nominated for 1 Primetime Emmy. Another 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MzQzMjA2NF5BMl5BanBnXkFtZTgwODg1MTI4MjE@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","40,415","tt3489184","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"85","The Messengers","2015","N/A","17 Apr 2015","60 min","Drama, Fantasy, Mystery","N/A","Eoghan O'Donnell","Shantel VanSanten, Diogo Morgado, JD Pardo, Joel Courtney","A mysterious object crashes on earth and a group of unconnected strangers die from an energy pulse it emits, but then re-awaken to find out that they have been deemed responsible for preventing the impending Apocalypse.","English","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMjc3MTU5NjleQTJeQWpwZ15BbWU4MDgxNDkxMDUx._V1_SX300.jpg","Internet Movie Database","6.6/10","N/A","6.6","7,707","tt3513704","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"86","Secrets and Lies","2015–2016","N/A","01 Mar 2015","43 min","Crime, Drama","N/A","Barbie Kligman","Juliette Lewis, Ryan Phillippe, KaDee Strickland, Jordana Brewster","Each series, a detective focuses on the prime suspect in a murder case; but everyone has something to hide.","English","USA","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BNmQ3NjFmYmMtM2M1YS00ZjdhLWI3NTQtODEwNWZmNTlhZGMxXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","8,835","tt3516878","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"87","Trapped","2015–","N/A","03 Jan 2016","60 min","Crime, Drama, Thriller","N/A","Baltasar Kormákur","Ólafur Darri Ólafsson, Ilmur Kristjánsdóttir, Ingvar Eggert Sigurðsson, Nína Dögg Filippusdóttir","In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.","Icelandic, English, Danish","Iceland","3 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwOTQ0OTIwNV5BMl5BanBnXkFtZTgwNTAwODY2NzE@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","4,549","tt3561180","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"88","The Girlfriend Experience","2016–","TV-MA","10 Apr 2016","27 min","Drama","N/A","N/A","Anna Friel, Carmen Ejogo, Louisa Krause, Riley Keough","TV series based on Steven Soderbergh's ""The Girlfriend Experience"", which centered on the life of a New York call girl.","English","USA","Nominated for 1 Golden Globe. Another 1 win & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwODU5MTI4NF5BMl5BanBnXkFtZTgwMjM4MTgyNzE@._V1_SX300.jpg","Internet Movie Database","7.3/10","N/A","7.3","5,274","tt3846642","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"89","The Missing","2014–","N/A","N/A","60 min","Crime, Drama, Mystery","N/A","N/A","Tchéky Karyo, Anastasia Hille, James Nesbitt, Frances O'Connor","When Tony and Emily Hughes travel to France with their 5-year-old son Oliver, their family holiday turns into a nightmare when Oliver disappears from a large celebrating crowd in Northern France.","English, French","UK, USA, Belgium, France","Nominated for 2 Golden Globes. Another 4 wins & 16 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTk2NzU4OTc0Ml5BMl5BanBnXkFtZTgwNzcwNzMwNDE@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","13,290","tt3877200","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"90","War & Peace","2016–","TV-14","18 Jan 2016","379 min","Drama, History, Romance","N/A","N/A","Paul Dano, James Norton, Lily James, Adrian Edmondson","As the Russian conflict with Napoleon reaches its peak, five aristocratic families face the possibility of their lives being changed forever.","English","UK","Nominated for 1 Primetime Emmy. Another 2 wins & 14 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNzY5MzgwNV5BMl5BanBnXkFtZTgwNDM0NDgxNzE@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","12,918","tt3910804","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"91","Scream: The TV Series","2015–","TV-14","30 Jun 2015","45 min","Crime, Drama, Horror","N/A","Jay Beattie, Jill E. Blotevogel, Dan Dworkin","Willa Fitzgerald, John Karna, Carlson Young, Bex Taylor-Klaus","What starts as a YouTube video going viral soon leads to problems for the teenagers of Lakewood and serves as the catalyst for a serial killer.","English","USA","3 wins & 10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNjVmY2M3ZTUtMDhkZC00ODk4LTkwMjktNDRjNGRjYTIxZGZiXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg","Internet Movie Database","7.3/10","N/A","7.3","24,088","tt3921180","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"92","The Border","2014–","N/A","12 Oct 2014","41 min","Action, Crime, Drama","N/A","Wiktor Piatkowski","Leszek Lichota, Bartlomiej Topa, Aleksandra Poplawska, Magdalena Poplawska","After bombing attack, which killed his friends from the Border Guard, Captain Wiktor Rebrow trying to unravel the mystery and figure out what happened and who is behind it all.","Polish","Poland","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMzY1ZGFjODYtODAyMS00YzUwLTlkZGItNTM3YmY4MDlmMTkxXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg","Internet Movie Database","7.3/10","N/A","7.3","407","tt4048942","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"93","Lovesick","2014–","N/A","15 Apr 2015","24 min","Comedy","N/A","Tom Edge","Johnny Flynn, Antonia Thomas, Daniel Ings, Hannah Britland","After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.","English","UK","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NjUxMDA3M15BMl5BanBnXkFtZTgwNjI0MTI1NTE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","6,640","tt4051832","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"94","Rush Hour","2016","TV-14","31 Mar 2016","43 min","Action, Comedy, Crime","N/A","Bill Lawrence, Blake McCormick","Justin Hires, Jon Foo, Aimee Garcia, Page Kennedy","TV show based on the action-comedy 'Rush Hour' films about an L.A. cop who teams up with a detective from Hong Kong.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNTViODJjYzQtMDIyYi00OWFkLWEyMTktNGJhYTY4ZGQzZmVkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg","Internet Movie Database","5.8/10","N/A","5.8","2,888","tt4085584","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"95","Unforgotten","2015–","N/A","08 Oct 2015","45 min","Crime, Drama, Mystery","N/A","Chris Lang","Nicola Walker, Sanjeev Bhaskar, Peter Egan, Jordan Long","Police start to investigate when the bones of a young man are found under the footings of a demolished house 39 years after his murder.","English","UK","1 win.","https://images-na.ssl-images-amazon.com/images/M/MV5BNmQ1ODc5MDEtZmE0MC00NzZmLTkwNDMtMjIyOWFjOGRjN2JlXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","3,277","tt4192812","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"96","Limitless","2015–2016","TV-14","22 Sep 2015","42 min","Comedy, Crime, Drama","N/A","Craig Sweeny","Jake McDorman, Jennifer Carpenter, Hill Harper, Mary Elizabeth Mastrantonio","An average 28-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the FBI as a consultant.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTA4ODE4NjA5ODleQTJeQWpwZ15BbWU4MDUxMTQ0NTYx._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","44,770","tt4422836","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"97","The Family","2016","TV-PG","03 Mar 2016","60 min","Drama, Mystery","N/A","Jenna Bans","Joan Allen, Rupert Graves, Alison Pill, Margot Bingham","A community is rattled when a politician's son, who was presumed murdered years ago, returns home.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MjY4NDU4NV5BMl5BanBnXkFtZTgwNDIzNDMyODE@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","4,005","tt4428038","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"98","Wolf Creek","2016–","N/A","12 May 2016","N/A","Drama, Horror, Thriller","N/A","N/A","Lucy Fry, John Jarratt, Dustin Clare, Andy McPhee","Eve, a 19-year-old American tourist is targeted by crazed serial killer Mick Taylor. She survives his attack and embarks on a mission of revenge.","English","Australia","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMzc5NDM3MzE5Ml5BMl5BanBnXkFtZTgwMzQ2OTk0ODE@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","2,005","tt4460878","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"99","A Series of Unfortunate Events","2017–","TV-PG","13 Jan 2017","50 min","Adventure, Drama, Family","N/A","N/A","Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes","After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets.","English","USA","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjIzODI0NV5BMl5BanBnXkFtZTgwMDk3OTI2MDI@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","26,522","tt4834206","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"100","BrainDead","2016","TV-14","13 Jun 2016","44 min","Comedy, Drama, Horror","N/A","Michelle King, Robert King","Mary Elizabeth Winstead, Danny Pino, Aaron Tveit, Tony Shalhoub","A government employee discovers that the cause of the tensions between the two political parties is a race of extraterrestrial insects eating the brains of the politicians.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MzgzOTAyNl5BMl5BanBnXkFtZTgwNzYxNjg0ODE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","7,458","tt4877736","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"101","Preacher","2016–","TV-MA","22 May 2016","60 min","Adventure, Drama, Fantasy","N/A","Sam Catlin, Evan Goldberg, Seth Rogen","Dominic Cooper, Joseph Gilgun, Ruth Negga, Ian Colletti","After a supernatural event at his church, a preacher enlists the help of a vampire to find God.","English","N/A","5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZWE3ZTEwZmYtNjRkNy00M2E2LTlhOWQtNTNjYjZiNTdkMjgzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","38,121","tt5016504","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"102","The Secret","2016–","N/A","N/A","45 min","Biography, Drama, Thriller","N/A","N/A","James Nesbitt, Genevieve O'Reilly, Patrick O'Kane, Nina Woods","The Secret is the story of a real-life double murder. James Nesbitt plays Colin Howell, a respectable dentist and pillar of the community, who became a killer in partnership with a Sunday ...","English","UK","3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZmIxNDY1YjItYjAwYi00YjYxLTg4YTktOGI2NDM2YjUxOTJkXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","1,174","tt5116280","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"103","Lethal Weapon","2016–","N/A","21 Sep 2016","60 min","Action, Crime, Drama","N/A","Matthew Miller","Damon Wayans, Clayne Crawford, Keesha Sharp, Kevin Rahm","TV show based on the popular 'Lethal Weapon' films in which a slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.","English","USA","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MjU2MTc5MV5BMl5BanBnXkFtZTgwMDk3Mjc3OTE@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","18,080","tt5164196","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"104","Van Helsing","2016–","N/A","23 Sep 2016","60 min","Action, Drama, Fantasy","N/A","N/A","Kelly Overton, Christopher Heyerdahl, Jonathan Scarfe, Vincent Gale","Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2MTgxNjMwNF5BMl5BanBnXkFtZTgwMjU3OTA0OTE@._V1_SX300.jpg","Internet Movie Database","5.8/10","N/A","5.8","6,245","tt5197820","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"105","Conviction","2016–2017","N/A","03 Oct 2016","42 min","Drama","N/A","Liz Friedlander, Liz Friedman","Hayley Atwell, Eddie Cahill, Shawn Ashmore, Merrin Dungey","A brilliant attorney and former First Daughter is blackmailed to heading a unit that investigates cases of wrongful conviction.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNDU5OTc0ODg0NF5BMl5BanBnXkFtZTgwNDMzNzMwMDI@._V1_SX300.jpg","Internet Movie Database","7.3/10","N/A","7.3","5,475","tt5396572","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"106","Notorious","2016","N/A","22 Sep 2016","60 min","Drama, Thriller","N/A","Josh Berman, Allie Hagan","Piper Perabo, Daniel Sunjata, Kate Jennings Grant, Aimee Teegarden","A charismatic defense attorney and a powerhouse television producer work together to control the media following a high-profile incident.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYzM5OWU5YmMtYzQ0ZC00YWQ2LWFmMzUtNTA2YWI2Yzk0ZmMxXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","3,426","tt5519574","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"107","Animal Kingdom","2016–","TV-MA","14 Jun 2016","60 min","Crime, Drama","N/A","Jonathan Lisco","Finn Cole, Aamya Deva Keroles, Ellen Barkin, Scott Speedman","The series centers on 17-year-old Joshua ""J"" Cody, who moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by...","English","USA","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNTg0MTUyNF5BMl5BanBnXkFtZTgwNzk4NzM0MjI@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","7,599","tt5574490","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
